iter	RMSE
0	873.9540426
1	507.226647
2	354.0458041
3	301.6107439
4	286.000365
5	279.6105788
6	276.8207727
7	275.15149
8	273.6543706
9	272.2451256
10	270.4778217
11	268.8700246
12	267.5715063
13	266.9752497
14	265.8327074
15	265.3025082
16	264.4580452
17	262.8997571
18	262.5743642
19	262.3387807
20	261.9216302
21	261.5093408
22	261.1761783
23	260.6768824
24	260.4581016
25	260.1273942
26	259.7972203
27	259.5927182
28	259.2192661
29	259.0537408
30	258.8589856
31	258.6622528
32	258.5571542
33	258.4306902
34	257.1966962
35	257.0433322
36	256.946329
37	256.8414587
38	256.7265602
39	256.5270017
40	256.1746811
41	255.9556253
42	255.8370279
43	255.6443543
44	255.5726552
45	255.4168534
46	255.2222163
47	255.1477384
48	255.0224582
49	254.739524
50	254.6847337
51	254.6264928
52	254.5730024
53	254.5213308
54	254.437175
55	254.3382289
56	254.2263553
57	254.0954428
58	254.0206047
59	253.9759648
60	253.9051544
61	253.8263209
62	253.7520467
63	253.6411269
64	253.5842667
65	253.5292
66	252.9347866
67	252.8934142
68	252.8194278
69	252.733646
70	252.6492145
71	252.5358329
72	252.5065952
73	252.4738357
74	252.3926089
75	252.3485732
76	252.302209
77	252.2191378
78	252.1757132
79	252.1368472
80	252.114005
81	252.0852109
82	251.9387713
83	251.9216112
84	251.8833704
85	251.7833689
86	251.7493101
87	251.7382693
88	251.7295962
89	251.6743739
90	251.6144052
91	251.6015144
92	251.5576323
93	251.4170791
94	251.357769
95	251.3181342
96	251.3136257
97	251.2901653
98	251.2229613
99	251.2079707
