iter	Passed	Remaining
0	734	72723
1	1357	66504
2	1806	58418
3	2248	53975
4	2702	51344
5	3176	49768
6	3667	48728
7	4079	46911
8	4566	46175
9	4989	44903
10	5500	44505
11	5938	43550
12	6322	42311
13	6718	41273
14	7242	41041
15	7733	40600
16	8139	39741
17	8730	39773
18	9088	38746
19	9483	37932
20	9959	37467
21	10424	36959
22	10869	36390
23	11353	35952
24	11789	35368
25	12231	34812
26	12650	34202
27	13102	33693
28	13589	33272
29	13904	32442
30	14327	31890
31	14720	31280
32	15006	30468
33	15314	29728
34	15828	29395
35	16282	28947
36	16771	28556
37	17276	28188
38	17715	27709
39	18058	27087
40	18613	26785
41	19175	26480
42	19720	26141
43	20232	25750
44	20704	25306
45	21152	24830
46	21578	24333
47	21952	23782
48	22381	23294
49	22997	22997
50	23336	22421
51	23730	21904
52	24124	21393
53	24621	20973
54	25062	20505
55	25540	20067
56	25961	19584
57	26395	19113
58	26814	18634
59	27148	18098
60	27623	17661
61	28036	17183
62	28356	16654
63	28824	16213
64	29147	15694
65	29629	15263
66	30225	14887
67	30714	14453
68	31157	13998
69	31582	13535
70	32065	13097
71	32614	12683
72	33109	12246
73	33553	11789
74	34129	11376
75	34598	10925
76	34998	10454
77	35380	9979
78	35804	9517
79	36199	9049
80	36796	8631
81	37202	8166
82	37665	7714
83	38003	7238
84	38423	6780
85	38756	6309
86	39222	5860
87	39622	5403
88	39994	4943
89	40405	4489
90	40879	4043
91	41208	3583
92	41520	3125
93	42055	2684
94	42398	2231
95	42746	1781
96	43069	1332
97	43461	886
98	43863	443
99	44338	0
